Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
United States,USA,"Population ages 0-14, male",SP.POP.0014.MA.IN,30696095,30932373,31140200,31330276,31396354,31501156,31584885,31622791,31577348,31782381,31886002,31928302,31946371,31967570,31900843,31806276,31694310,31602054,31520234,31417554,31340844,31253831,31126509,31125769,30942200
United States,USA,"Population ages 0-14, total",SP.POP.0014.TO,60000925,60457655,60863484,61237370,61349552,61540958,61700652,61781645,61707218,62115320,62324459,62414797,62456435,62498933,62395007,62220502,62001634,61818661,61657987,61459046,61313248,61148289,60902964,60902541,60550749
United States,USA,"Population ages 15-64, female",SP.POP.1564.FE.IN,89116496,90364614,91634686,92884214,94117935,95255789,96317733,97472285,98657753,99626475,100643672,101660259,102536853,103265004,103844039,104395231,104857905,105324376,105761176,106193570,106482333,106628361,106688933,107282115,106930215
United States,USA,"Population ages 15-64, male",SP.POP.1564.MA.IN,89332568,90624489,91941696,93239646,94410726,95474911,96471064,97587329,98768475,99695551,100693346,101717388,102625726,103407062,104058355,104695128,105251827,105816808,106354388,106849513,107194733,107396091,107517082,108184723,107866597
United States,USA,"Population ages 15-64, total",SP.POP.1564.TO,178449056,180989043,183576338,186123865,188528528,190730595,192788756,195059592,197426230,199322426,201337589,203378186,205162922,206672064,207902846,209090854,210110037,211141263,212115566,213043139,213677110,214024458,214205997,215466841,214797059
United States,USA,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,20126831,20214380,20298836,20387123,20469861,20534403,20601784,20724462,20902768,21152004,21452009,21818559,22251373,22763967,23322063,23960831,24654750,25405502,26196852,27010817,27807894,28595845,29401917,30409542,31130997
United States,USA,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,14080123,14192793,14301258,14414059,14620751,14818992,15016619,15239541,15480384,15790766,16118061,16483342,16901413,17392179,17964277,18606248,19294001,20021033,20768590,21558750,22323855,23069572,23819037,24722158,25415271
United States,USA,"Population ages 65 and above, total",SP.POP.65UP.TO,34207019,34407301,34600178,34801176,35090876,35353639,35618525,35964061,36383151,36942166,37569159,38300984,39152172,40156146,41285628,42566306,43948276,45426405,46965441,48569570,50131771,51665452,53220992,55131698,56545938
United States,USA,"Population, female",SP.POP.TOTL.FE.IN,138548214,140104345,141656845,143178430,144541124,145830133,147035365,148355637,149690393,151111214,152533798,153964934,155298019,156560332,157660006,158770009,159819809,160946434,162095782,163245938,164262696,165118706,165867325,167468430,167669677
United States,USA,"Population, male",SP.POP.TOTL.MA.IN,134108786,135749655,137383155,138983981,140427831,141795060,143072568,144449661,145826206,147268698,148697409,150129032,151473510,152766811,153923475,155107653,156240138,157439895,158643212,159825817,160859432,161719493,162462628,164032650,164224068
United States,USA,"Population, total",SP.POP.TOTL,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331501080,331893745
United States,USA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,GBR,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,..,..,..,8.6,8.3,8.3,7.9,8.2,7.9,7.8,7.6,8.1,8,7.8,8.3,8.2,8.8,8.6,8.8,8.5,8.2,8.1,7.9,..,..
United Kingdom,GBR,"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,..,..,..,4.3,3.9,4.1,4.1,4.3,4.1,3.8,3.6,3.8,3.7,3.7,3.9,3.7,3.8,4,4.4,4.1,4.1,4.1,4,..,..
United Kingdom,GBR,"Suicide mortality rate, male (per 100,000 male population)",SH.STA.SUIC.MA.P5,..,..,..,13,12.9,12.6,11.9,12.2,11.8,12,11.7,12.6,12.5,12.1,12.8,13,14,13.4,13.4,13,12.5,12.2,11.8,..,..
United Kingdom,GBR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.8,10.8,10.8,10.3,10.2,10.2,10.2,9.7,9.6,9.4,9.4,9.4,9,8.9,8.7,8.9,9,8.8,9.2,9.1,9.2,9.2,9,10.4,..
United Kingdom,GBR,"Population ages 0-14, female",SP.POP.0014.FE.IN,5523294,5509847,5490376,5465657,5430940,5389067,5345844,5311668,5292821,5289680,5300364,5320752,5341332,5360631,5421713,5460813,5491511,5530964,5582228,5635769,5689262,5738235,5776355,5790623,5793827
United Kingdom,GBR,"Population ages 0-14, male",SP.POP.0014.MA.IN,5786198,5776048,5761262,5742994,5710136,5669455,5625820,5589110,5565941,5557955,5565066,5582397,5601057,5620649,5680686,5720104,5752674,5795019,5849474,5905092,5960191,6010643,6050775,6067470,6071422
United Kingdom,GBR,"Population ages 0-14, total",SP.POP.0014.TO,11309759,11286166,11251817,11208652,11141187,11058658,10971756,10900812,10858761,10847629,10865439,10903174,10942419,10981280,11102455,11180989,11244242,11326012,11431700,11540882,11649486,11748914,11827156,11858093,11865286
United Kingdom,GBR,"Population ages 15-64, female",SP.POP.1564.FE.IN,18968705,19063618,19171360,19284914,19402353,19533603,19674585,19832350,20005582,20176411,20351283,20516679,20659233,20787873,20853414,20896893,20931370,20981572,21051360,21134373,21214013,21288097,21358489,21386392,21411977
United Kingdom,GBR,"Population ages 15-64, male",SP.POP.1564.MA.IN,18759586,18833609,18928771,19039075,19158633,19302834,19465525,19649857,19851158,20020442,20187875,20342907,20475546,20596989,20670212,20725564,20775108,20841966,20929031,21022272,21112356,21197311,21280122,21323663,21360034
United Kingdom,GBR,"Population ages 15-64, total",SP.POP.1564.TO,37728679,37897607,38100383,38323987,38561155,38836637,39140248,39482257,39856736,40196873,40539197,40859642,41134819,41384859,41523732,41622578,41706559,41823572,41980393,42156712,42326458,42485474,42638638,42710056,42772109
United Kingdom,GBR,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,5454989,5449287,5445948,5445382,5455021,5466018,5479814,5500461,5529868,5565673,5601747,5643951,5701220,5783238,5886392,6006763,6137462,6267608,6387805,6484504,6561399,6626046,6692715,6759322,6839747
United Kingdom,GBR,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,3824181,3854731,3884749,3914490,3962589,4009502,4055989,4104458,4155835,4236660,4316128,4400309,4497882,4616984,4746393,4890079,5040147,5185169,5316321,5429583,5521639,5600012,5677871,5753530,5849562
United Kingdom,GBR,"Population ages 65 and above, total",SP.POP.65UP.TO,9278516,9303368,9330265,9359875,9417331,9475184,9535574,9604836,9685709,9802318,9917827,10044179,10199033,10400226,10632623,10896649,11177472,11452714,11704126,11913999,12082915,12225956,12370532,12512852,12689175
United Kingdom,GBR,"Population, female",SP.POP.TOTL.FE.IN,29946989,30022752,30107684,30195954,30288314,30388688,30500243,30644479,30828271,31031764,31253394,31481382,31701785,31931743,32161519,32364469,32560344,32780144,33021393,33254646,33464674,33652378,33827559,33936337,34045551
United Kingdom,GBR,"Population, male",SP.POP.TOTL.MA.IN,28369965,28464389,28574782,28696560,28831359,28981791,29147334,29343426,29572935,29815056,30069069,30325613,30574485,30834622,31097291,31335746,31567929,31822154,32094826,32356947,32594185,32807966,33008768,33144663,33281018
United Kingdom,GBR,"Population, total",SP.POP.TOTL,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081000,67326569
United Kingdom,GBR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,18.6,..,..,..,..
